time,top,top_middle,bottom_middle,bottom
1708219039,0,1,356,81
1708219039,0,0,196,145
1708219039,0,0,66,142
1708219039,0,0,0,61
1708219039,0,1,0,31
1708219039,0,0,0,53
1708219039,0,0,36,176
1708219039,0,1,216,295
1708219039,0,0,282,374
1708219040,0,0,338,408
1708219040,0,0,193,367
1708219040,0,0,81,255
1708219040,1,0,0,201
1708219040,0,0,0,118
1708219040,1,0,0,77
1708219040,0,0,0,130
1708219040,0,0,64,312
1708219040,0,0,211,350
1708219040,0,0,243,393
1708219041,0,0,310,419
1708219041,0,0,252,370
1708219041,0,0,179,338
1708219041,0,1,209,317
1708219041,0,0,183,309
1708219041,0,1,102,288
1708219041,0,0,100,282
1708219041,0,0,86,315
1708219041,0,0,101,340
1708219041,0,0,90,339
1708219042,1,0,68,272
1708219042,0,0,12,304
1708219042,0,1,1,254
1708219042,0,0,0,117
1708219042,0,0,0,127
1708219042,0,0,0,249
1708219042,0,0,19,315
1708219042,0,2,63,322
1708219042,0,0,49,328
1708219042,0,0,1,252
1708219043,0,1,23,312
1708219043,0,0,89,315
1708219043,0,0,157,341
1708219043,0,0,160,353
1708219043,0,0,133,318
1708219043,0,1,89,310
1708219043,0,0,24,269
1708219043,0,1,0,185
1708219043,1,0,0,158
1708219043,0,0,0,93
1708219044,0,0,0,0
1708219044,0,0,0,0
1708219044,217,0,2,0
1708219044,234,0,0,0
1708219044,203,0,0,0
1708219044,175,0,0,2
1708219044,136,0,1,0
1708219044,43,3,0,0
1708219044,35,0,0,0
1708219044,131,0,1,0
1708219045,179,0,0,1
1708219045,189,0,0,0
1708219045,176,0,0,1
1708219045,142,0,0,1
1708219045,116,0,0,0
1708219045,110,0,0,0
1708219045,72,1,1,0
1708219045,97,0,1,0
1708219045,176,0,0,3
1708219045,279,0,0,0
1708219046,363,0,0,2
1708219046,214,0,0,0
1708219046,80,0,0,0
1708219046,96,0,0,0
1708219046,153,0,0,0
1708219046,227,0,0,0
1708219046,223,0,1,0
1708219046,227,0,0,0
1708219046,204,0,0,1
1708219046,133,0,0,0
1708219047,107,1,0,0
1708219047,49,0,0,0
1708219047,0,0,0,0
1708219047,0,0,0,0
1708219047,0,0,0,0
1708219047,0,0,0,0
1708219047,0,0,1,0
1708219047,0,0,0,0
1708219047,0,0,0,0
1708219047,0,0,0,0
1708219048,0,1,0,0
1708219048,0,0,0,0
1708219048,0,0,0,0
1708219048,0,0,0,0
1708219048,0,0,1,0
1708219048,0,0,2,0
1708219048,0,0,0,0
1708219048,0,0,1,1
1708219048,0,0,0,0
1708219048,2,1,0,0
1708219049,0,0,0,0
1708219049,1,0,1,1
1708219049,1,0,0,0
1708219049,0,0,0,2
1708219049,0,0,0,0
1708219049,0,0,0,0
1708219049,0,0,0,0
1708219049,0,1,0,0
1708219049,0,0,0,0
1708219050,0,0,0,2
1708219050,0,0,0,0
1708219050,0,0,0,0
1708219050,0,0,0,1
1708219050,0,0,0,0
1708219050,80,0,2,0
1708219050,180,0,1,0
1708219050,287,1,0,0
1708219050,333,215,0,0
1708219050,194,272,1,0
1708219051,158,259,1,0
1708219051,0,125,0,0
1708219051,0,0,0,0
1708219051,0,0,0,0
1708219051,0,1,0,0
1708219051,0,0,0,0
1708219051,0,0,0,0
1708219051,0,0,0,1
1708219051,279,0,0,0
1708219051,154,0,0,0
1708219052,0,1,0,0
1708219052,0,0,0,1
1708219052,0,0,0,0
1708219052,0,0,0,0
1708219052,0,0,0,1
1708219052,0,0,0,0
1708219052,0,0,0,1
1708219052,0,0,0,0
1708219052,0,0,0,0
1708219052,0,0,0,0
1708219053,0,0,0,0
1708219053,0,0,0,0
1708219053,0,45,10,0
1708219053,0,56,0,0
1708219053,0,30,0,1
1708219053,125,0,0,1
1708219053,163,0,0,0
1708219053,220,0,0,0
1708219053,248,0,0,0
1708219053,285,0,1,0
1708219054,283,0,0,0
1708219054,223,0,0,0
1708219054,221,0,0,0
1708219054,219,0,0,0
1708219054,245,0,1,0
1708219054,221,0,0,0
1708219054,227,0,0,0
1708219054,325,260,0,0
1708219054,234,318,198,1
1708219054,13,266,299,0
1708219055,0,0,200,0
1708219055,0,0,96,0
1708219055,1,0,1,0
1708219055,0,0,0,0
1708219055,0,0,0,0
1708219055,1,0,0,1
1708219055,1,0,0,0
1708219055,0,0,0,1
1708219055,0,1,0,0
1708219055,0,0,1,0
1708219056,0,1,89,2
1708219056,0,1,107,0
1708219056,0,0,159,0
1708219056,0,0,198,0
1708219056,1,1,211,0
1708219056,0,0,215,0
1708219056,1,1,209,1
1708219056,1,1,227,1
1708219056,1,0,180,0
1708219056,1,0,189,0
1708219057,2,0,145,0
1708219057,0,0,0,0
1708219057,0,0,0,0
1708219057,0,1,0,1
1708219057,0,0,0,0
1708219057,0,0,1,366
1708219057,0,0,0,84
1708219057,0,0,0,64
1708219057,0,0,0,15
1708219057,0,0,84,82
1708219058,0,0,211,51
1708219058,0,121,240,0
1708219058,0,151,251,7
1708219058,0,0,224,39
1708219058,0,0,203,125
1708219058,0,0,178,106
1708219058,0,0,56,75
1708219058,0,0,91,146
1708219058,0,1,171,152
1708219058,0,0,58,104
1708219059,0,0,76,99
1708219059,0,0,166,141
1708219059,0,0,150,145
1708219059,0,1,165,151
1708219059,0,0,174,161
1708219059,0,0,146,148
1708219059,0,0,137,148
1708219059,0,0,117,143
1708219059,0,0,144,157
1708219059,0,0,154,165
1708219060,0,0,156,165
1708219060,0,0,111,168
1708219060,0,1,94,164
1708219060,0,0,129,164
1708219060,0,0,166,157
1708219060,0,0,170,161
1708219060,0,0,94,157
1708219060,0,0,78,143
1708219060,0,1,81,151
1708219061,1,0,105,158
1708219061,0,0,128,154
1708219061,0,0,134,156
1708219061,0,0,136,155
1708219061,1,0,106,155
1708219061,0,0,49,156
1708219061,0,0,60,155
1708219061,0,0,42,157
1708219061,0,0,83,158
1708219061,0,0,91,165
1708219062,0,0,80,171
1708219062,0,0,90,165
1708219062,0,0,82,179
1708219062,0,0,84,160
1708219062,0,0,90,176
1708219062,0,0,87,168
1708219062,1,0,76,177
1708219062,0,0,41,153
1708219062,2,1,48,176
1708219062,0,0,80,173
1708219063,0,0,115,172
1708219063,0,1,138,176
1708219063,0,0,76,174
1708219063,0,0,108,170
1708219063,0,0,74,168
1708219063,0,1,74,176
1708219063,0,0,96,171
1708219063,0,0,97,176
1708219063,0,0,101,176
1708219063,0,0,96,181
1708219064,0,0,89,179
1708219064,0,0,100,176
1708219064,0,0,70,180
