time,top,top_middle,bottom_middle,bottom
1708218957,0,0,0,1
1708218957,0,0,1,1
1708218957,0,0,0,1
1708218958,2,0,0,0
1708218958,1,0,0,0
1708218958,0,0,0,0
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218958,0,1,0,1
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218959,0,0,0,1
1708218959,0,0,1,0
1708218959,0,0,0,0
1708218959,0,0,0,0
1708218959,0,0,0,0
1708218959,0,0,1,0
1708218959,0,0,0,0
1708218959,1,0,0,0
1708218959,0,1,0,0
1708218959,0,0,0,1
1708218960,1,0,0,0
1708218960,0,1,0,0
1708218960,1,0,0,0
1708218960,1,0,0,0
1708218960,0,0,0,0
1708218960,0,0,0,0
1708218960,0,0,0,0
1708218960,1,0,0,0
1708218960,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,1,0
1708218961,0,1,0,1
1708218961,0,0,0,0
1708218961,0,0,2,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218962,1,0,0,0
1708218962,0,0,0,0
1708218962,0,2,0,0
1708218962,0,0,0,0
1708218962,0,0,0,0
1708218962,0,0,0,1
1708218962,0,0,0,0
1708218962,0,0,0,0
1708218962,2,0,0,0
1708218962,0,0,0,0
1708218963,0,0,1,0
1708218963,0,0,0,1
1708218963,1,0,0,0
1708218963,0,0,0,0
1708218963,0,1,0,0
1708218963,0,1,0,0
1708218963,0,0,0,0
1708218963,0,0,1,0
1708218963,2,0,1,0
1708218963,0,0,1,0
1708218964,1,0,0,0
1708218964,0,0,0,107
1708218964,0,1,0,103
1708218964,1,0,0,81
1708218964,0,0,0,0
1708218964,0,1,0,0
1708218964,0,0,0,0
1708218964,0,0,0,0
1708218964,0,0,0,1
1708218964,0,0,0,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,0
1708218965,1,0,0,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,2
1708218965,1,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,3
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,1,0,0,0
1708218966,0,1,0,0
1708218966,0,1,0,0
1708218966,0,0,0,0
1708218967,0,0,0,0
1708218967,0,0,0,0
1708218967,0,0,0,1
1708218967,0,1,0,0
1708218967,0,0,0,0
1708218967,3,0,0,0
1708218967,2,0,0,0
1708218967,1,2,0,0
1708218967,0,0,0,0
1708218967,23,2,0,0
1708218968,56,0,3,0
1708218968,77,0,6,0
1708218968,115,0,7,0
1708218968,101,0,5,1
1708218968,92,1,3,2
1708218968,81,0,5,0
1708218968,48,0,4,1
1708218968,26,0,1,0
1708218968,0,1,0,0
1708218968,1,0,0,0
1708218969,0,0,0,0
1708218969,0,0,0,1
1708218969,120,1,8,0
1708218969,148,0,9,0
1708218969,113,73,6,0
1708218969,86,159,5,0
1708218969,89,117,5,0
1708218969,69,94,4,0
1708218969,71,108,4,0
1708218969,65,139,3,0
1708218970,0,152,2,1
1708218970,0,133,0,2
1708218970,0,156,1,0
1708218970,0,51,0,0
1708218970,0,1,0,2
1708218970,0,0,0,0
1708218970,1,0,0,1
1708218970,1,0,0,0
1708218970,0,0,0,0
1708218970,0,0,0,0
1708218971,1,0,0,0
1708218971,0,0,0,0
1708218971,1,0,0,0
1708218971,0,0,0,1
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218971,0,1,0,0
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218972,0,0,1,0
1708218972,0,0,0,0
1708218972,0,0,1,0
1708218972,0,0,0,2
1708218972,0,1,0,21
1708218972,0,0,0,0
1708218972,0,0,1,0
1708218972,2,0,0,0
1708218972,0,0,0,0
1708218973,0,0,0,0
1708218973,0,0,0,0
1708218973,0,1,0,0
1708218973,147,0,8,0
1708218973,147,0,8,0
1708218973,166,0,7,0
1708218973,122,0,5,0
1708218973,133,0,7,0
1708218973,99,0,6,0
1708218973,92,0,5,0
1708218974,93,0,5,0
1708218974,85,0,5,0
1708218974,83,0,5,1
1708218974,81,0,3,0
1708218974,101,0,5,0
1708218974,153,0,5,0
1708218974,86,0,2,2
1708218974,0,0,0,0
1708218974,0,0,0,0
1708218974,0,0,0,0
1708218975,0,1,0,1
1708218975,0,0,0,0
1708218975,0,0,0,0
1708218975,0,0,1,0
1708218975,0,0,0,0
1708218975,0,0,0,1
1708218975,0,0,0,0
1708218975,40,22,2,0
1708218975,51,60,1,0
1708218975,43,26,1,0
1708218976,37,1,1,0
1708218976,39,1,3,0
1708218976,0,0,1,0
1708218976,0,0,1,0
1708218976,0,0,0,0
1708218976,0,0,0,0
1708218976,0,0,1,0
